,song_id,song_name,artist_1,artist_2,artist_3,release_date,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,key,valence,tempo,time_signature,mode
8,0IgI1UCz84pYeVetnl1lGP,Old Fashioned Girl,Greg Fieler,,,1922-01-01,0,310073,0,0.488,0.475,-16.222,0.0399,0.62,0.00645,0.107,0,0.544,139.952,4,0
59,2IMcezGQzHgqH8gIvXJM3Q,Till the End of Time,Dick Haymes,,,1922-01-01,0,182227,0,0.208,0.234,-15.427,0.0426,0.986,0.656,0.234,8,0.209,85.288,3,1
207,3DzcB6weYL3L7oRNmsJCaV,No One Else But You,Louis Armstrong & His Savoy Ballroom Five,,,1923-01-01,6,201267,0,0.496,0.311,-11.202,0.124,0.923,0.0127,0.252,5,0.718,191.035,4,1
208,3GuVFPnSVW036wmwUrXQ9Q,Changeable Daddy Of Mine,Margaret Johnson,,,1923-01-01,6,161560,0,0.583,0.214,-13.687,0.0423,0.994,3.3e-05,0.446,10,0.647,101.916,4,1
209,3MUeRkKpLxxyRFzqMTj1HY,"Chinatown, My Chinatown",Louis Armstrong,,,1923-01-01,5,193667,0,0.562,0.525,-8.992,0.142,0.945,0.0949,0.129,3,0.794,158.373,4,1
213,43WZyNbzOJOnKQStu8if8E,St. Louis Blues - Alternate Take B,Louis Armstrong,,,1923-01-01,5,176333,0,0.68,0.47,-8.644,0.11,0.912,0.907,0.0819,11,0.946,181.038,4,0
308,1CGbuEQ7kBcYxtNy4h1u5f,Chapter 2.17 - Król Maciuś Pierwszy,Janusz Korczak,,,1923-12-27,0,135200,0,0.62,0.291,-18.068,0.955,0.749,0.0,0.251,1,0.75,180.557,3,1
309,1D7D3FLwQ4rCvDWbBtVQho,Chapter 2.7 - Król Maciuś na wyspie bezludnej,Janusz Korczak,,,1923-12-27,0,142500,0,0.666,0.294,-19.078,0.96,0.735,0.0,0.177,5,0.628,83.194,4,0
392,2aSHEubeGWVpJwQfJZl7JV,Chapter 2.5 - Król Maciuś na wyspie bezludnej,Janusz Korczak,,,1923-12-27,0,147200,0,0.637,0.256,-17.853,0.95,0.725,0.0,0.188,2,0.637,164.233,4,1
400,2gy7I5dzqH5SMPefKbXqqg,Chapter 3.19 - Król Maciuś na wyspie bezludnej,Janusz Korczak,,,1923-12-27,0,168000,0,0.71,0.228,-17.497,0.952,0.884,0.0,0.164,1,0.697,85.562,3,0
404,2l78PWopglhBVZGmpeTNRh,Chapter 2.18 - Król Maciuś na wyspie bezludnej,Janusz Korczak,,,1923-12-27,0,135900,0,0.712,0.191,-20.443,0.944,0.849,0.0,0.241,1,0.591,127.017,3,1
476,3pjehtgPoqwg771OxtIth4,Chapter 8.6 - Król Maciuś na wyspie bezludnej,Janusz Korczak,,,1923-12-27,0,125600,0,0.642,0.277,-18.761,0.951,0.707,0.0,0.22,1,0.581,88.563,3,1
481,3siZBSfqfWGdfO22wScU0U,Chapter 4.12 - Król Maciuś Pierwszy,Janusz Korczak,,,1923-12-27,0,130800,0,0.711,0.199,-19.244,0.932,0.83,0.0,0.237,1,0.819,111.123,4,1
618,6Bao6PuGtRKlSQke4eYvKD,Chapter 9.12 - Król Maciuś Pierwszy,Janusz Korczak,,,1923-12-27,0,133000,0,0.705,0.204,-20.11,0.941,0.744,0.0,0.204,1,0.712,132.666,3,1
625,6I5AhUEoLQuB6odxCHkOkF,Chapter 6.13 - Król Maciuś na wyspie bezludnej,Janusz Korczak,,,1923-12-27,0,130300,0,0.632,0.27,-18.826,0.955,0.754,0.0,0.217,6,0.679,172.087,3,0
665,7CCglawmKFCmKpZgAcbCNb,Chapter 4.9 - Król Maciuś Pierwszy,Janusz Korczak,,,1923-12-27,0,137100,0,0.741,0.223,-18.939,0.957,0.74,0.0,0.205,1,0.805,84.26,1,1
685,7mS4u6c5s45NzQnUNX6Pxd,Chapter 10.10 - Król Maciuś Pierwszy,Janusz Korczak,,,1923-12-27,0,144300,0,0.764,0.236,-18.73,0.922,0.81,0.0,0.144,5,0.767,97.303,3,0
715,0GXSIHwSyddrKNddSMNABj,Olga - Remasterizado,Ignacio Corsini,,,1924-03-29,0,134840,0,0.332,0.278,-19.895,0.0748,0.987,0.963,0.177,8,0.547,179.54,3,1
